Brau- u. GetrÑnkeindustrie    Gesellschaft m.b.H.                                                                       0025Feldkirchner Stra·e 147       A 9020  Klagenfurt                    001046
Bleiburger Pinselfabrik       Gesellschaft m.b.H.                                                                       0059Koschatstrasse 10             A 9150  Bleiburg                      001052
Max BrÅstle K.G. & Co                                                                                                   0008Passering                     A 9330  Treibach                      001114
BRVZ Bau-Rechen- u.           Verwaltungszentrum Gesell-    schaft m.b.H. Zweignieder-    lassung Spittal an der Drau   0000Ortenburger Stra·e 27         A 9800  Spittal/Drau                  001116
Betonfertigteilindustrie      Gesellschaft m.b.H.                                                                       0000Richtstra·e 44                A 9500  Villach                       001123
Versicherungsanstalt der      îsterr. BundeslÑndervers. AG  Landesdirektion f. KÑrnten                                  0029Wiener Gasse 11               A 9020  Klagenfurt                    001140
Gustav und A.Adler            Gesellschaft mbH & Co KG                                                                  0000Mariahilfer GÅrtel 39/14      A 1150  Wien                          005584
Baumeister Reinhold Weiss     Gesellschaft mbH                                                                          0000Plankengasse 7/44             A 1010  Wien                          005588
Balik Franz                   Maschinenfabrik                                                                           0000Guschelbauerstra·e 5          A 1210  Wien                          005589
Birner & Co                   Autobedarf                                                                                0046                              A 1235  Wien                          000352
Besam,Maschinenhandels-       gesellschaft mbH                                                                          0000HÅtteldorfer Stra·e 216 C     A 1140  Wien                          000291
Johann L. Bondi & Sohn        Gesellschaft mbH                                                                          0000Industriestra·e 2             A 2380  Perchtoldsdorf                000353
Ing.Brunner-Ing.Bock          Bauunternehmen                Gesellschaft mbH                                            0000Raabser Stra·e 10             A 3822  Karlstein a.d.Thaya           000430
Zaminer Josef                 WirtschaftstreuhÑnder                                                                     0000Bahnhofstra·e 22              A 9560  Feldkirchen                   001002
Diexer Georg                  Planung-Bauphysik-Statik                                                                  0000Bootsbauerweg 20              A 9210  Pîrtschach                    003308
A. Zoppoth Haustechnik-       Gesellschaft m.b.H.                                                                       0000                              A 9634  Gundersheim 35                001025
Reifen Wadel KG                                                                                                         0000Vîlkermarkter Stra·e 133      A 9020  Klagenfurt                    001026
"Drau" Baugesellschaft m.b.H.                                                                                           0000Getreidegasse 4               A 9020  Klagenfurt                    001184
Waldhauser Manfred            Kfz-WerkstÑtte                                                                            0000Klagenfurter Stra·e 44        A 9170  Ferlach                       001031
