Johann Huter u. Sîhne                                                                                                   0000Vîlser Stra·e 60 e            A 6021  Innbruck                      002993
Ideal-Tours ReisebÅro         Gesellschaft m.b.H. & Co.KG.                                                              0000Marktstra·e 6 b               A 6230  Brixlegg                      002643
Kîllensperger Josef           Installationen                                                                            0000Staffler Stra·e 2             A 6020  Innsbruck                     002628
Koppensteiner                 Gesellschaft mbH                                                                          0000Rinderweg 14                  A 6114  Weer                          002635
Kreidl KG.                    Heizung, LÅftung, SanitÑr                                                                 0000                              A 6233  Kramsach 83 A                 002638
Jarosch Richard               Holz- und Kohlenhandlung                                                                  0000Bahnhofstra·e 37              A 6500  Landeck                       002655
Melmer & Co                   Reifenzentrum                                                                             0000Andechsstra·e 67              A 6020  Innsbruck                     002575
Ing. Franz Jobst              Gesellschaft mbH                                                                          0000Schopenhauerstra·e 47         A 1180  Wien                          002032
Wiedemann                     Lift Service Gesellschaft mbH.                                                            0000Donaustrasse 75               A 2346  Maria Enzersdorf              003055
Schneider & Peklar            Gesellschaft mbH                                                                          0000N-Bhf.,Kohlenhof 6            A 1020  Wien                          005518
Engelbert Rîder               Gesellschaft mbH                                                                          0000Prager Stra·e 64              A 1210  Wien                          003893
Rudolf Vintera                Gesellschaft mbH                                                                          0000Blindengasse 17               A 1080  Wien                          004228
Bauunternehmung-Baustoffwerke Baumeister Michael Vogl       Ges.m.b.H.                                                  0000Erzherzog-Carl-Stra·e 11      A 2232  Deutsch Wagram                004476
"Winzerhaus"Weinvertriebs-    gesellschaft n.î.             Winzergenossenschaften        Gesellschaft mbH              0000Simmeringer Hauptstra·e 54    A 1110  Wien                          004475
Denso-Chemie                  Gesellschaft mbH & Co KG                                                                  0000Franzensthalstra·e 27         A 2435  Ebergassing                   000563
Rudolf und August Rost                                                                                                  0000MÑrzstra·e 7                  A 1150  Wien                          005095
Franz Nemetz & Sohn OHG                                                                                                 0000HanglÅssgasse 3               A 1150  Wien                          003614
INTOR Bau-und Handels-        gesellschaft mbH                                                                          0000Schrankenberggasse 24         A 1100  Wien                          001875
Anna Gold, Import-Gro·handel  Spezialhaus f. BÑcker,        Konditor und Gro·kÅchenbedarf handelsgesellschaft m.b.H     0000Warneckestrasse 11            A 1110  Wien                          000997
Hudribusch Karl               Spenglerei                                                                                0000Franz Josef Stra·e 25         A 2380  Perchtoldsdorf                001646
Hukla-Werke                   Matratzen-und Polstermîbel-   fabriken Gesellschaft mbH                                   0000Oberlaaer Stra·e 246          A 1100  Wien                          001781
Benz AG.                                                                                                                0000Fabrikstra·e 2923             CH9472  Grabs                         002990
Bornemann & Bick KG.                                                                                                    0000Harkortstra·e 20              D 4322  Sprockhîvel 2                 002992
Dipl.kfm.Dr.Karl Huschek      Holzgro·handlung                                                                          0000Panikengasse 19-23            A 1160  Wien                          001804
HYDRAULIK-TEAM Planungs-und   Vertriebs Gesellschaft mbH                                                                0000                              A 3452  Mitterndorf 46                001814
H. Heer & Co.AG.                                                                                                        0000MÅhleweg 3                    CH4658  DÑniken                       003008
RöDISöHLY NéNNY & Co.AG.      Etuisfabrik                                                                               0000                              CH9055  BÅhler AR                     003028
INCON Handels-                gesellschaft mbH                                                                          0000Wasagasse 6                   A 1090  Wien                          001829
F. Haberkorn                  Vertrieb technischer Produkte Gesellschaft m.b.H.                                         0000Holzriedstra·e 33             A 6961  Wolfurt                       003000
Microsan                      Handelsgesellschaft mbH                                                                   0000Rossakgasse 54                A 1238  Wien                          001832
Raimund Ingerisch jun.        Gesellschaft mbH                                                                          0000Spengergasse 13               A 1050  Wien                          001834
Alfred Rusitsch und           Gerhard Schwarzmann GnbR                                                                  0000Herbststra·e 50               A 1160  Wien                          001837
Feratel Produktions- und      Warenvertriebsgesell-         schaft m.b.H.                                               0000Bundesstra·e 2 a              A 6020  Innsbruck                     002536
Integral-Montage              Anlagen und Rohrtechnik       Gesellschaft mbH                                            0000Lanzendorfstra·e 52           A 2481  Achau                         001843
Internationale Bank fÅr       Aussenhandel Aktien-          gesellschaft                                                0000Neuer Markt 1                 A 1010  Wien                          001867
Interweld Gesellschaft mbH                                                                                              0000Flugfeldstra·e 56             A 2540  Bad Vîslau                    001872
Intra Speditions-             gesellschaft mbH                                                                          0000Sonnwendgasse 21              A 1100  Wien                          001876
Inweld Wohn-Industrie-und     Anlagenbau Gesellschaft mbH                                                               0000Thaliastra·e 81               A 1160  Wien                          001878
ISOPOL Isolierungen, Ab-      dichtungen und Flachdachein-  deckungen Gesellschaft mbH                                  0000HeiligenstÑdter LÑnde 19      A 1190  Wien                          001885
Isovolta-ôsterreichische      Isolierstoff Aktien-          gesellschaft                  Industriezentrum              0000Nô-SÅd, Str. Nr. 3, Obj. 1    A 2351  Wiener Neudorf                001887
JÑger Gesellschaft mbH & Co   Bau KG, Wien                                                                              0000Lehrbachgasse 4               A 1120  Wien                          001894
JÑger Karl                    SanitÑre Anlagen                                                                          0000Liniengasse 4                 A 1061  Wien                          001895
Dipl.Ing.Jarma Alois          Werkzeuge-Maschinen                                                                       0000Nu·dorfer Stra·e 60           A 1090  Wien                          001946
Jellinek KG                                                                                                             0000Sagedergasse 54               A 1120  Wien                          001955
Jessernig Viktor & Urban      Metallwarenfabrik                                                                         0025Innstra·e 23-25               A 1201  Wien                          002030
Peter Jonas                   Gesellschaft mbH                                                                          0000Gumpendorfer Stra·e 94        A 1060  Wien                          002034
Helmut Jordanits              Gesellschaft mbH                                                                          0000Klinkowstrîmgasse 3           A 1140  Wien                          002036
Jurid Vertriebs-              gesellschaft mbH                                                                          0000Rautenweg 8                   A 1220  Wien                          002072
Kaelble Gmeinder              Gesellschaft mbH                                                                          0000Wagramer Stra·e 263           A 2201  Gerasdorf                     002090
Kainzbauer Helmut             Tischlerei                                                                                0000Schulgasse 7                  A 2552  Hirtenberg                    002108
Kalkgewerkschaft in ErnstbrunnGesellschaft mbH                                                                          0028                              A 2115  Ernstbrunn                    002117
Eva Kammel                    Gesellschaft mbH                                                                          0000                              A 2232  Aderklaa 37                   002137
Ing.Kastner Johann            Bautechnik                                                                                0000Hainburger Stra·e 18          A 1030  Wien                          002182
Johann Katzenbeisser          Gesellschaft mbH                                                                          0000Prager Stra·e 35              A 1210  Wien                          002191
Kemeter Spedition und Trans-  port Gesellschaft mbH & Co KG                                                             0000Seybelgasse 24                A 1230  Wien                          002295
Julius Kienast KG                                                                                                       0042                              A 3571  Gars/Kamp                     002305
Ing. Kienast P.               Audio-Vertretungen                                                                        0000Wintergasse 32                A 3002  Purkersdorf                   002307
Horst Klaus                   Gesellschaft mbH                                                                          0000Modecenterstra·e 22           A 1030  Wien                          002321
Ing.Klauser T.                Baumeister                                                                                0000Hauptplatz 4/1                A 2620  Neunkirchen                   002323
Johann Klein                  Transport-und Handels-        gesellschaft mbH                                            0000                              A 7435  UnterkohlstÑtten 70           002330
Klomfar Elfriede              Wir fÅr Sie                                                                               0000Gro·e Mohrengasse 23          A 1020  Wien                          002356
Knorr Bremse Gesellschaft     mit beschrÑnkter Haftung                                                                  0000Steinfelder Gasse 12          A 2340  Mîdling                       002375
Betonwerk Koch                Gesellschaft mbH                                                                          0000Marzer Stra·e 5               A 7210  Mattersburg                   002387
Peter Koch Gesellschaft mbH                                                                                             0000Lienfeldergasse 21            A 1160  Wien                          002392
Ernst Kochendîrfer            Inh.MÅllner & Witt OHG                                                                    0000Eichenstra·e 7a               A 1120  Wien                          002396
BrÅder Kocian                 Gesellschaft mbH                                                                          0000                              A 2292  Loimersdorf 98                002401
Kogler Gesellschaft mbH                                                                                                 0000Ricoweg 10                    A 2351  Wiener Neudorf                002435
Kohlhauser Gerhard            BÅro-Organisation                                                                         0000Kandlgasse 5                  A 1070  Wien                          002441
Ing.Koizar Manfred            Baumeister                                                                                0000Hanuschgasse 1                A 2540  Bad Vîslau                    002451
WôV-Mischfutter und Viehver-  wertung Gesellschaft mbH                                                                  0252Neuer Markt 2                 A 1010  Wien                          005873
Kîlbl Gerald Ernst            Industriebedarf                                                                           0000Kollarzgasse 25               A 1213  Wien                          002464
Kolz Brigitte                 Esso Service Station                                                                      0000Oberzellergasse 2a            A 1030  Wien                          002611
Kongskilde Landmaschinen      Vertriebsgesellschaft mbH                                                                 0000Brunner Feldstra·e 65         A 2380  Perchtoldsdorf                002618
HaKî Hans Kînig               Gesellschaft mbH                                                                          0000Gro·marktstra·e 14            A 1232  Wien                          002642
K.Kînig & Co                  Metalle                                                                                   0000Goldschlagstra·e 87-89        A 1150  Wien                          004328
Kosti Armaturen               Handelsgesellschaft mbH & CoKG                                                            0000Siccardsburggasse 43          A 1100  Wien                          002667
Dkfm. Kovac Hermann           Transportorganisation                                                                     0000Kolingasse 6/XI               A 1090  Wien                          002671
Raiffeisenkasse Waidhofen     reg.Gen.m.b.H.                                                                            0000Oberer Stadtplatz 22          A 3340  Waidhofen                     005950
Ing.Riegler Franz             Elektrounternehmen                                                                        0000Oberer Stadtplatz 17          A 3340  Waidhofen / Ybbs              006029
Thyssen Austria               Gesellschaft mbH                                                                          0000Stubenring 24                 A 1011  Wien                          004582
Kralik Werner                 Sonnenschutz                                                                              0000Ortnergasse 3                 A 1150  Wien                          002686
Kramer & Schnablegger         Gesellschaft mbH                                                                          0000Absberggasse 17               A 1100  Wien                          002695
Erich Kratoschka              Gesellschaft mbH & Co KG                                                                  0000Eichenstra·e 26               A 1120  Wien                          002708
Kreihsl Josef                 Holzbearbeitungsmaschinen                                                                 0000Kaiser Josef Stra·e 80        A 3002  Purkersdorf                   002745
M. Beham's Nachf.             Gesellschaft m.b.H.                                                                       0000Dobl 22                       A 4780  SchÑrding                     001584
Karl Krieger                  Gesellschaft mbH                                                                          0000Klostermanngasse 5            A 1230  Wien                          002769
Binder & Co AG                Stahlbau                                                                                  0008                              A 8200  Gleisdorf                     002056
"Agricola" GetrÑnke-          Gesellschaft mbH & Co         Kommanditgesellschaft                                       0000Prankergasse 29/31            A 8020  Graz                          002058
EUROL-Mineralîl Handels-      gesellschaft m.b.H.                                                                       0000Bahnhofstra·e 60              A 4910  Ried/I.                       001776
Lorencic Gesellschaft mbH                                                                                               0000Brucknerstra·e 14             A 8010  Graz                          002061
H. Burgstaller Gesell-        schaft m.b.H.                                                                             0000Bahnhofstra·e 26              A 4680  Haag a. Hausruck              001787
Dr. Binder Josef              WirtschaftsprÅfer u. Steuer-  berater                                                     0000Naglergasse 78                A 8010  Graz                          002071
Beneder Albert                Schlosserei u. Werkzeugbau                                                                0000Josefstal 1                   A 4311  Schwertberg                   001795
Bauer Josef                   Fenster u. TÅren                                                                          0000                              A 8564  Krottendorf 306               002076
Brandner Helmut               Gro·handel                                                                                0000Friedhofgasse 85              A 8020  Graz                          002086
BT-Elektro                    GesellschaftmbH                                                                           0000Weizer Stra·e 49              A 8200  Gleisdorf                     002088
BrandstÑdter Franz            Handarbeitsartikel                                                                        0000Wiener Stra·e 28              A 4020  Linz                          001816
Helga Bayerl Gesell-          schaft m.b.H.                                                                             0000Dinghoferstra·e 50            A 4020  Linz                          001835
Anton Comelli KG              Ziegelwerk                                                                                0000Maxendorf 43                  A 8082  Kirchbach                     002100
Cotronic Computer Electronic  GesellschaftmbH & Co KG                                                                   0000KÑrntnerstrasse 355           A 8020  Graz                          002113
Krista Gesellschaft mbH & CoKG                                                                                          0000MÅnzgasse 5                   A 1030  Wien                          002779
Krupp-Widia                   Vertriebsgesellschaft mbH                                                                 0000Salitergasse 7                A 2380  Perchtoldsdorf                002789
Binder Magnete Vertriebs-     gesellschaft m.b.H.                                                                       0079Estermannstra·e 27            A 4017  Linz                          001854
Junior Fertigteilmîbel        Gesellschaft mbH                                                                          0000                              A 2144  Alt-Lichtenwarth              002792
Carsan KÑltetechnik           GesellschaftmbH               Speiseeis- u. Sahnemaschinen                                0000Wiener Stra·e 189             A 8020  Graz                          002120
Kubena Robert                 Pelzgro·handel                                                                            0000Friedrichstra·e 8             A 1010  Wien                          005874
Kubicek Otto                  FîrderbÑnder                                                                              0000Jeneweingasse 2               A 1210  Wien                          002795
Kugler Wilhelm                Gas-Wasser-Heizung                                                                        0000Herzogstra·e 9                A 3500  Krems                         002813
"KÅhlfix" KÑlteanlagen        Ing. Gerhard Doczekal & Co KG                                                             0000Wallackgasse 6                A 1232  Wien                          002819
Bachmaier & Brandstetter      Umzugsspeditions Gesell-      schaft m.b.H.                                               0000Paschinger Stra·e 43          A 4060  Leonding                      001864
Duller & Skreiner             GesellschaftmbH & Co KG       Installationsunternehmen                                    0000Conrad v. Hîtzendorf Stra·e 86A 8010  Graz                          002134
Becker Carl                   Papiergro·handlung                                                                        0000Herrenstra·e 16               A 4021  Linz                          001871
Druckhaus Thalerhof           Ing. Ferdinand Majcen                                                                     0000Gmeinergasse 13               A 8073  Feldkirchen                   002142
Champignon Vertriebsgesell-   schaft m.b.H. & Co.KG.                                                                    0000Kapuzinerstra·e 53            A 4020  Linz                          001889
Rudolf Kutschera & Sîhne KG   Weingro·handlung                                                                          0000HeiligenstÑdter Stra·e 205    A 1190  Wien                          002858
Chemserv Industrie            Service Gesellschaft m.b.H.                                                               0296St. Peter Stra·e 25           A 4021  Linz                          002052
Alpenkohle BrunnschÅtz        Heizîlvertrieb GesellschaftmbH                                                            0000Lastenstra·e 1                A 8020  Graz                          001747
Lahner KG                                                                                                               0000Industrieg.Ost,Industriestr.4 A 2345  Brunn / Gebirge               002865
Landesinnung Wien der         Chemischputzer und FÑrber                                                                 0000Salesianergasse 1             A 1030  Wien                          002874
Langeder Johann               Raumausstattung                                                                           0000Favoritenstra·e 43            A 1040  Wien                          002882
Lebisch, Studio fÅr Werbung   Werbeagentur Gesellschaft mbH                                                             0000Muthgasse 48                  A 1190  Wien                          002898
Leitner Franz                 Kfz-Industriebedarf                                                                       0000Mitterfeldstra·e 1            A 3300  Amstetten                     002902
Leman  Elektroanlagen         Vertriebs und Service         Gesellschaft mbH                                            0000Spie·hammergasse 1            A 1120  Wien                          002903
Lercher Peter                 LSE Lercher Software          Entwicklung                                                 0000Lainzerstrasse 41             A 1130  Wien                          000736
Fritz Lopaur                  Metallbau Gesellschaft mbH                                                                0000Eitnergasse 10                A 1232  Wien                          002931
Luber Carl & Sohn             Eisengie·erei                                                                             0042Beingasse 16-20               A 1151  Wien                          003039
A.Luigard Gesellschaft mbH                                                                                              0000Kaiserstra·e 10               A 1070  Wien                          003046
Wolfgang Luke                 Gesellschaft mbH & Co KG                                                                  0000Hackengasse 16                A 1150  Wien                          005687
Mad Wilhelm                   Weinkellerei                  Haus Marienburg                                             0000Antonigasse 1                 A 7063  Oggau                         003066
Mager Helmut                  Glaserei                                                                                  0000Seebîckgasse 19               A 1160  Wien                          003072
Mapei Gesellschaft mbH                                                                                                  0000FreilehnmÅhle 9               A 3133  Traismauer                    003114
Matejka Gesellschaft mbH                                                                                                0000Ameisgasse 36                 A 1140  Wien                          003179
Matouschek Walter             Moderne Glasschleiferei                                                                   0000Linzer Stra·e 27-29           A 3100  St.Pîlten                     003187
May Gesellschaft mbH                                                                                                    0000Canavesegasse 4               A 1230  Wien                          003196
WBW - WEBER-BAU-              Gesellschaft mbH                                                                          0000Puchsbaumgasse 43/7           A 1106  Wien                          003230
Mediaprint Anzeigenge-        sellschaft mbH & Co KG                                                                    0000Lindengasse 52                A 1070  Wien                          003247
GebrÅder Meixner              Gesellschaft mbH                                                                          0000Althanstr.12,F.J.Bhf,1.Ladest.A 1090  Wien                          003269
Meran Gesellschaft mbH                                                                                                  0000                              A 2454  Sarasdorf 108                 003275
Mingori Gesellschaft mbH                                                                                                0000Richard Strau· Stra·e 45      A 1232  Wien                          003282
Mittli & Grossmann            Gesellschaft mbH                                                                          0000Kirchengasse 39               A 1070  Wien                          003293
Franz Ablinger & Co.          Fleischhauereibetrieb         Gesellschaft m.b.H.                                         0000F. X. Grimm Stra·e 3          A 5110  Oberndorf                     003386
Adeg C & C Gro·markt          Gesellschaft m.b.H. & Co. KG.                                                             0000Kitzsteinhornstra·e 40        A 5700  Zell am See                   003392
Afri-Cola und Bluna           Gesellschaft m.b.H.                                                                       0000MÅnchner Bundesstra·e 116     A 5013  Salzburg                      003395
Allgemeine Waren- u.          Versandgesellschaft m.b.H.                                                                0000Elisabethstra·e 8 d           A 5020  Salzburg                      003402
Arno Wallpach                 Metallwarenfabrik             Gesellschaft m.b.H.                                         0000Obergau 75                    A 5440  Golling                       005582
Aula-Werk A. Riess            Erzeugung von Pîkelstoffen    und chemischen Produkten.                                   0000Wiespachstra·e 1              A 5400  Hallein                       003455
Autohaus und Kfz-Reparatur-   werkstÑtte                    Karl Lederer & Co. KG.                                      0000Loferer Bundesstra·e 25       A 5700  Zell am See                   003463
WIBERG Produktions-           Ges.m.b.H.                                                                                0000Adolf Schemel Stra·e 9        A 5020  Salzburg                      005785
Wiegele Walter                Dental-Keramik                                                                            0000Lasserstra·e 24               A 5020  Salzburg                      005797
Hans Baier                    Gesellschaft m.b.H.                                                                       0000                              A 5122  Ach/Salzach                   003397
Wieser GetrÑnke               Gesellschaft m.b.H.                                                                       0000                              A 5721  Piesendorf 350                005802
Bauer Austria                 Gesellschaft m.b.H.                                                                       0000Gewerbehofstra·e 358          A 5071  Wals                          003413
Helmut Bauernfried            Gesellschaft m.b.H. & Co.KG.                                                              0000Aignerstrasse 61              A 5026  Salzburg-Aigen                003415
Baur-Druck                    Gesellschaft mbH                                                                          0056WerksgelÑnde 30               A 5500  Bischofshofen                 003416
GebrÅder Woerle               Gesellschaft m.b.H.                                                                       0018Enzing 26                     A 5302  Henndorf a. Wallersee         005823
H. u. W. Wîrndl                                                                                                         0000                              A 5303  Tahlgau 178                   005825
BECO Schleifmittelwerk        Gesellschaft m.b.H. & Co.KG.                                                              0000Enzersberg 62                 A 5303  Thalgau                       003422
Wrigley Austria               Gesellschaft m.b.H.                                                                       0000Josef Waach Stra·e 11         A 5023  Salzburg                      005835
Benckiser Wasser Technik      Aktiengesellschaft                                                                        0000Simmerstr. 4                  A 5310  Mondsee                       003430
Valli & Colombo               Gesellschaft m.b.H.                                                                       0000Mayrwies Esch 356             A 5023  Salzburg                      005552
Vorens Metall                 Gesellschaft m.b.H.                                                                       0000Gerlosbundesstra·e 98         A 5730  Mittersill                    005569
Berger Wolfgang               Handel mit BaugerÑten                                                                     0000Gewerbegebiet Weitwîrth       A 5110  Oberndorf                     003447
GebrÅder Bernhofer            Zement und Kalkwerk Golling                                                               0000Torren 120                    A 5440  Golling                       003449
Bernit Baustoffwerk           Gesellschaft m.b.H. & Co.KG.                                                              0000                              A 5204  Steindorf/Stra·walchen        003451
Taichmann H.P.                Verpackungen                                                                              0000Clemens Kraus Stra·e 16       A 5020  Salzburg                      005502
Bittner                       Baugesellschaft m.b.H. & Co.KG                                                            0000Bergheimer Stra·e 12          A 5020  Salzburg                      003458
Blizzard                      Gesellschaft m.b.H.                                                                       0000                              A 5730  Mittersill                    003459
Bîck-Werbung                  Maria Hergarden                                                                           0000Dr. Adalbert Lederer Allee 125A 5350  Strobl                        003461
Ing. Paul Thurnberger         Baumeister Gesellschaft       m.b.H. & Co.KG.                                             0000                              A 5222  Munderfing 57                 005529
Bona Kemi                     Gesellschaft m.b.H.                                                                       0000Mayrwies 389                  A 5023  Salzburg                      003466
Stadlmann BÅroorganisation    Handelsgesellschaft m.b.H.                                                                0000Lindau 94                     A 5351  Aigen-Voglhub                 005499
Edelhoff Entsorgung Salzburg  Gesellschaft m.b.H.                                                                       0000Aupoint 4                     A 5101  Bergheim                      003483
Dr. Breyer Hannes             Herzog-Stoffe                                                                             0000Schiffmanngasse 22            A 5033  Salzburg                      003484
Helmut Brucker                ALPINA Fleischereimaschinen u.Ladenbau                                                    0000Seiler Stra·e 7               A 5101  Bergheim                      003489
Mîbelgro·handels-             Aktiengesellschaft                                                                        0000Halbgasse 13                  A 1070  Wien                          003299
Mobil Oil Austria AG                                                                                                    0000Schwarzenbergplatz 3          A 1010  Wien                          003300
Bucher Maschinen              Gesellschaft mbH                                                                          0000Bahnhofstra·e 52              A 5202  Neumarkt                      001566
MatthÑus Steffner             Gesellschaft m.b.H.                                                                       0000Ennspark                      A 5541  Altenmarkt                    005703
Carl Steiner & Co.            Aktiengesellschaft                                                                        0089                              A 5101  Bergheim 334                  005717
Montan Union - Raab Karcher   Brennstoffhandels-            gesellschaft mbH                                            0000Frankenberggasse 14           A 1040  Wien                          003318
Montanwerke Walter            Werkzeug Gesellschaft mbH                                                                 0000Johannesgasse 14              A 1010  Wien                          003319
Morawa Pressevertrieb         Gesellschaft mbH                                                                          0000Wollzeile 11                  A 1010  Wien                          003320
Motadruck                     Buch-und Offsetdruck          Peter Tallafuss                                             0000Fernkorngasse 28              A 1100  Wien                          003326
Dipl.Ing.Mukenhuber           Kurt & Maralik                Elektro                                                     0000Landstra·e Hauptstra·e 108    A 1030  Wien                          003551
G. & E. MÅllner Reifenhandels-und Kraftfahrzeugservice      Gesellschaft mbH                                            0000Grieshofgasse 14              A 1120  Wien                          003565
Ing.Johann MÅnz               Gesellschaft mbH & Co KG                                                                  0000Fabriksgasse 4                A 2340  Mîdling                       003577
Neuber Gesellschaft mbH                                                                                                 0000Linke Wienzeile 152           A 1060  Wien                          004222
Neunkirchner Schraubenwerk    Gesellschaft mbH                                                                          0000Wiener Stra·e 23              A 2620  Neunkirchen                   004224
Contact Fachmessen Salzburg   Gesellschaft m.b.H. & Co. KG.                                                             0000Ausstellungszentrum           A 5021  Salzburg                      003474
Johann Neuwirth               Gesellschaft mbH                                                                          0000Bahnhofstra·e 36              A 3830  Waidhofen/Thaya               004232
NGT Nowak gastechnische       Anlagen Handels-und Montage-  gesellschaft mbH & Co KG                                    0000Rasmussengasse 2              A 1210  Wien                          004239
Niedermaier & Kukula          Maschinen und Werkzeuge       Vertriebsgesellschaft mbH                                   0000Schottenfeldgasse 7           A 1072  Wien                          004241
Decision Systems              Interntional GesmbH                                                                       0051Alpenstra·e 107/Top B 101,2.OGA 5033  Salzburg                      003495
Dipl.Ing. Denz Wladimir       Architekt                                                                                 0000Fischer von Erlach Str. 39/11 A 5020  Salzburg                      003498
Norma Messtechnik             Optik/Elektronik              Gesellschaft mbH                                            0000Eumigweg 7                    A 2351  Wiener Neudorf                004248
Edelmann Ingo Franz           PlaungsbÅro f. Elektrotechnik                                                             0000Oberhofgasse 12               A 5400  Hallein                       003523
Anton Eder                    Gesellschaft m.b.H.                                                                       0000Leiten 42                     A 5733  Bramberg                      003526
ELASTICA                      Matratzen-Schaumstoffe-ZubehîrGesellschaft m.b.H.                                         0000Mauermannstra·e               A 5023  Salzburg                      003777
Offenthaler Anton             Baustoffe                                                                                 0000Ybbsstra·e 54                 A 3300  Amstetten                     004376
Erdbau Gesellschaft mit       beschrÑnkter Haftung                                                                      0000Rîcklbrunnstra·e 35           A 5020  Salzburg                      003793
Erstes Salzburger Lagerhaus   Leop. Wildenhofers Nachf.                                                                 0000Gnigler Stra·e 5-7            A 5020  Salzburg                      003797
ESBO                          Estrich- und Bodenverlegung   Gesellschaft m.b.H. & Co.KG.                                0000Pfongau 145                   A 5202  Neumarkt                      003799
ôkista-Reisen                 Gesellschaft mbH                                                                          0000TÅrkenstra·e 4                A 1090  Wien                          004382
Omnitest MaterialprÅfung      Gesellschaft mbH                                                                          0000Martinstrasse 53              A 1180  Wien                          004384
ôMV Aktiengesellschaft        Mineralîlproduktenvertrieb                                                                0000Julius Raab Platz 4           A 1010  Wien                          004385
Origa Handelsgesellschaft mbH                                                                                           0000Dornbacher Stra·e 71          A 1170  Wien                          004387
Ortner Hanns                  Malermeister                                                                              0000Schwarzhorngasse 6            A 1050  Wien                          004388
Helmut Osberger               Gesellschaft mbH                                                                          0000                              A 3491  Strass im Strassertal         004390
ôser Friedrich                Druckerei                                                                                 0000Schottenfeldgasse 84          A 1070  Wien                          004391
Metallbau Saller              Gesellschaft m.b.H.                                                                       0000Gasteiner Stra·e 102          A 5500  Bischofshofen                 005187
ESV-Elektrotechnik            Service- und Vertriebs-       Gesellschaft m.b.H.                                         0000Bayerhamer Stra·e 19          A 5020  Salzburg                      003805
Gerhart und Werner            Oesterreicher                 Elektroinstallation,OHG                                     0000BrÅnner Stra·e 113            A 1210  Wien                          004393
Salomon                       Gesellschaft m.b.H.                                                                       0000Lagerhausstra·e 447           A 5071  Wals                          005191
Eurofunk Nachrichtentechnik   Hans Kappacher KG                                                                         0000Hauptstra·e 45                A 5600  St. Johann                    003807
ôsterreichische Brau          Aktiengesellschaft Brauerei   Wieselburg                                                  0000Josef RiedmÅller Stra·e 2     A 3250  Wieselburg                    005581
Verbundgesellschaft           Verbundgesellschaft           z.Hd. Hr.Hbv. Dr. Wlaka                                     0000Rudolfsplatz 13a              A 1010  Wien                          004394
Fallenegger & Co.             Internationale Spedition      Gesellschaft m.b.H.                                         0000Aupoint 97                    A 5101  Bergheim                      003766
Salzburger Druckerei          und Verlag                                                                                0000Bergstra·e 12                 A 5020  Salzburg                      005215
ôsterreichische Homogenholz   Aktiengesellschaft                                                                        0000Bickforstra·e 6               A 7201  Neudîrfl                      004397
"SALZBURGER FENSTER"          Ebner & Gann OHG              AnkÅndigungsunternehmung.                                   0000Rupertgasse 23                A 5020  Salzburg                      005301
ôsterreichischer Blinden-     verband                       Werbeabteilung                                              0000HÑgelingasse 4-6              A 1140  Wien                          004398
GetrÑnke & Service            Gesellschaft, Kiener & Co                                                                 0000Rochusgasse 19                A 5020  Salzburg                      005232
ôsterreichischer Verband fÅr  Elektrotechnik                                                                            0000Eschenbachgasse 9             A 1010  Wien                          004401
ôsterreichische Volksbanken   Aktiengesellschaft                                                                        0000Peregringasse 3               A 1090  Wien                          004420
